text,top_class,hate_speech,offensive_language,neither
MONSTER PogChamp,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
this game looks so good jesus sumGasm sumGasm sumGasm sumGasm @summit1g,neither,0.038003767287262215,0.33248984918789576,0.629506383524842
sumGasm sumGasm sumGasm sumGasm,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
sumDerp ✧ RESUB HYPE! (ﾉ◕ヮ◕)ﾉ sumBuhblam sicklittle stayed on the 1G Squad!! for 2 months! sum1g sumLove sum1g,neither,0.03297778119746711,0.30841471353644956,0.6586075052660832
"Summit1g, If you fuck with everything, wear a rubber sumDerp",offensive_language,0.08687366590141135,0.9095048464716782,0.003621487626910655
what game is it goddamn it,neither,0.04899095186691242,0.2865636948441908,0.6644453532888968
monster sponsor sumGasm,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Monster sumOhface,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
have not been herre for 7 months did not realize i have subbed for 18 months lol,neither,0.028890777810591253,0.35250500132528945,0.6186042208641194
Summit gets on and now I can't join a game... RIP!!!,neither,0.036970546322023165,0.28501940531800185,0.6780100483599749
MONSTER B O I S,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
PLAY THE GAME,neither,0.037647878890473906,0.2542885265364845,0.7080635945730417
Gz on monster Kreygasm,neither,0.03692620527282753,0.3424783739319836,0.6205954207951888
zzzzzzzzzzzz,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
MONSTER,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
MONSTER!?!?!?!,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
SUMMIT WITH THE MONSTER SPONSERSHIP sum1g sum1g sum1g sumOhface sumOhface,neither,0.02975042938304426,0.3476280230031733,0.6226215476137824
sumGasm sumGasm sumGasm,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
MONSTER SPONER WHATTTT,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Time to step up the fridge game sumDerp,neither,0.040199248710469905,0.33572930945026125,0.6240714418392688
THE MONSTER S U M M I T,neither,0.038351000110748164,0.310092396174505,0.6515566037147468
MONSTER?,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
sumSuh sumSuh,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
DESI'S PREGNANT,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
15K,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
15k!,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Sex the game already summit1g sumGasm,offensive_language,0.024056447838462086,0.5639408006595694,0.4120027515019686
WHATTTTTT,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ABOUT...........,neither,0.03510642987957868,0.4041522644624374,0.5607413056579837
15K,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
desi pregnant,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
sumOhface,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
15 K,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
15k subs ?,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
weve been waiting a really long time too. like a whole 2 hours,neither,0.04448444521435632,0.3565983643121057,0.598917190473538
15K SUBS,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
....,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
MONSTER,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
PogChamp,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
NEW SPONSERSHIP,neither,0.04660400397451208,0.1401930676750457,0.8132029283504423
SUMMIT DADDY???,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
BABY1G,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
sumBaby PogChamp,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
15k????,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
AND???,neither,0.03763944115734239,0.1918412352459551,0.7705193235967025
SUMMIT MONSTERRR LETSS GOOO,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
BABY1G,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
BABY1g,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
15k,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
15k subs PogChamp,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
MONSTER PogChamp,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
New Tweet from @summit1g: Finally get to talk about it and get to wear the hat! Always knew I was an athlete ;D https://t.co/gSfcPPd9X0 [ https://twitter.com/summit1g/status/814925452158631936 ],neither,0.035052731489663265,0.34696042931841725,0.6179868391919194
Monster ^^ nice GJ,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
monster dd,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
GOING PRO,neither,0.037476183748934265,0.36393135673469773,0.598592459516368
KappaPride,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
baby1g,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
15k BOYS?,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
"HE DOESN""T HAVE A DICK",offensive_language,0.0673712244170461,0.8985335529101401,0.034095222672813695
sumBaby,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
BABY,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
plays it for 3 days and stops playing it LUL Kappa,neither,0.03438915330017544,0.29381204165713554,0.671798805042689
15k????,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
BABY1G?,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
BABY1G,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
15 whiooo,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
hes gay,neither,0.3708574729777219,0.14191084823616995,0.4872316787861082
BABY1G?,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
desi preg,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
it's obviously not about the 15k lol....,neither,0.029927966909164258,0.38420304081022333,0.5858689922806125
sumGasm,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
PogChamp 15K,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
BABY1G,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
what is it dad?,neither,0.05729829947203776,0.32154310566535926,0.6211585948626029
BABY1G PogChamp,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
